trackID,albumID,artistID
38,,
273,264415.0,206388.0
300,174302.0,239122.0
475,76423.0,6756.0
585,261087.0,226368.0
611,262122.0,270884.0
641,236370.0,162485.0
739,239135.0,109987.0
881,33286.0,
946,211448.0,177476.0
1021,50618.0,94009.0
1092,275322.0,179354.0
1250,80197.0,82110.0
1384,118834.0,210466.0
1397,,
1479,231274.0,182018.0
1521,233478.0,258354.0
1557,80939.0,19963.0
1663,10118.0,256671.0
1672,192410.0,251727.0
1768,123329.0,195772.0
1809,94642.0,16197.0
1830,241111.0,286053.0
1864,5428.0,182156.0
2030,69481.0,128069.0
2116,183864.0,10223.0
2122,143998.0,180983.0
2185,102460.0,140010.0
2224,92820.0,96112.0
2383,253133.0,187609.0
2501,280216.0,152427.0
2507,207266.0,175266.0
2589,,
2737,6581.0,84678.0
2936,288193.0,45832.0
2990,290890.0,
3027,70387.0,
3139,253802.0,188127.0
3175,28935.0,269853.0
3233,88429.0,170756.0
3303,157094.0,190518.0
3397,208685.0,142552.0
3572,3871.0,157933.0
3683,,
3808,229266.0,68326.0
4061,197615.0,
4194,196324.0,141852.0
4314,105047.0,231611.0
4366,96108.0,21658.0
4639,131019.0,75908.0
4662,134603.0,185964.0
4719,239773.0,
4801,61795.0,166141.0
4807,,
5087,61629.0,
5099,168815.0,274479.0
5115,192450.0,59444.0
5156,127277.0,210466.0
5184,15069.0,66712.0
5222,153023.0,45832.0
5266,18100.0,69513.0
5394,15177.0,280191.0
5456,70004.0,1817.0
5540,91972.0,133570.0
5828,206804.0,127850.0
5908,15750.0,25819.0
6099,177537.0,46968.0
6171,86845.0,21306.0
6687,208197.0,228408.0
6759,274055.0,137566.0
6778,206830.0,176963.0
6892,12465.0,25900.0
6932,24042.0,59956.0
7093,275243.0,135958.0
7169,18130.0,
7240,109700.0,175870.0
7346,166522.0,257618.0
7474,140557.0,4100.0
7511,68946.0,278749.0
7528,87347.0,254334.0
7575,,
7752,8899.0,25900.0
7759,219913.0,134540.0
7808,132266.0,194435.0
7857,22719.0,75017.0
7866,188380.0,270655.0
7982,164932.0,203237.0
8284,13782.0,157994.0
8406,241434.0,273577.0
8572,121746.0,152077.0
8582,,
8592,20363.0,17944.0
8748,246331.0,229390.0
8842,147357.0,168967.0
8971,149767.0,36932.0
9221,106359.0,251868.0
9256,,
9350,107800.0,79963.0
9376,295288.0,17037.0
9396,12188.0,30088.0
9434,,
9488,200710.0,163241.0
9550,189330.0,257298.0
9563,134237.0,4216.0
9643,173557.0,135354.0
9776,254624.0,200000.0
9929,91907.0,57273.0
10278,225832.0,51565.0
10293,123568.0,180487.0
10339,203073.0,159455.0
10359,33583.0,15731.0
10387,225882.0,129786.0
10511,263015.0,250941.0
10573,145826.0,97290.0
10772,32755.0,283967.0
10870,113136.0,58182.0
10944,35952.0,273574.0
11403,132325.0,134828.0
11405,244725.0,37277.0
11451,120081.0,54791.0
11499,9248.0,84913.0
11552,,
11575,94270.0,13106.0
11601,126577.0,102299.0
11636,117131.0,43767.0
11685,53791.0,295381.0
11844,136709.0,7828.0
12078,253382.0,164107.0
12311,149107.0,
12358,,79500.0
12448,171744.0,123226.0
12451,242241.0,210727.0
12466,188595.0,294988.0
12545,25305.0,119010.0
12652,2788.0,168956.0
12685,151270.0,26330.0
12707,229902.0,
12830,79213.0,281855.0
12831,289378.0,89507.0
12839,264401.0,169386.0
12914,119400.0,21239.0
13006,161824.0,73556.0
13101,65602.0,83754.0
13218,150444.0,66676.0
13281,117641.0,232588.0
13319,260838.0,293657.0
13433,70117.0,7828.0
13437,60122.0,271901.0
13474,39598.0,161118.0
13577,157987.0,79360.0
13585,,
13612,,
13871,236886.0,255586.0
13920,234330.0,279989.0
13977,71651.0,107276.0
14135,211278.0,169174.0
14172,23781.0,35288.0
14197,211587.0,64052.0
14281,1728.0,143022.0
14397,207957.0,269054.0
14419,86900.0,132751.0
14486,78466.0,144654.0
14704,196800.0,52340.0
14922,280965.0,39781.0
14989,137904.0,261984.0
15021,86541.0,49866.0
15055,159454.0,93662.0
15138,177196.0,159455.0
15219,199211.0,211476.0
15277,223481.0,33269.0
15278,,
15414,4284.0,255700.0
15434,20455.0,192235.0
15531,244951.0,145033.0
15551,9725.0,122752.0
15588,166633.0,225290.0
15759,229639.0,276689.0
15855,264171.0,114292.0
16264,110601.0,140956.0
16402,61343.0,24599.0
16444,137894.0,258330.0
16476,50593.0,7288.0
16503,67845.0,24771.0
16557,210123.0,85479.0
16579,83729.0,195555.0
16598,255562.0,12598.0
16611,85214.0,133681.0
16684,20722.0,76040.0
16725,,
16858,210312.0,244886.0
16959,67263.0,265253.0
16976,25703.0,1589.0
16995,114983.0,230492.0
17055,31465.0,293425.0
17149,60803.0,
17152,159731.0,205242.0
17245,172388.0,163052.0
17420,,
17562,76564.0,37815.0
17623,150246.0,209603.0
17645,49649.0,273577.0
17649,60122.0,271901.0
17727,3330.0,187229.0
17877,209016.0,132751.0
17972,128171.0,294690.0
18024,22423.0,
18034,277229.0,187518.0
18045,223479.0,287417.0
18101,31676.0,85921.0
18216,221771.0,172223.0
18259,289267.0,108516.0
18365,273157.0,295381.0
18557,165821.0,134828.0
18703,242615.0,16439.0
18714,,
18789,73376.0,48223.0
18934,263264.0,52344.0
18954,73765.0,15295.0
19086,294057.0,239122.0
19109,132795.0,278842.0
19132,5563.0,113227.0
19293,142208.0,253660.0
19312,90788.0,43767.0
19405,154090.0,25873.0
19574,30772.0,85921.0
19587,27298.0,110385.0
19675,161260.0,150269.0
19678,230594.0,202697.0
19711,160788.0,250159.0
19824,189785.0,197404.0
19890,158336.0,13370.0
20005,85152.0,61547.0
20012,259548.0,261429.0
20088,67109.0,191713.0
20099,288495.0,40189.0
20135,294339.0,166019.0
20342,,
20512,156088.0,
20655,9841.0,250370.0
20807,266852.0,52914.0
21092,48640.0,15322.0
21338,45731.0,94468.0
21368,71600.0,21306.0
21376,154693.0,
21378,20257.0,35603.0
21542,52647.0,
21845,85259.0,82849.0
21966,98493.0,135338.0
21975,208660.0,263587.0
21987,193055.0,267735.0
21992,188074.0,83870.0
22037,107391.0,222730.0
22044,257729.0,66595.0
22212,279346.0,156315.0
22274,124683.0,65292.0
22335,,
22362,,
22497,189275.0,
22638,281085.0,176213.0
22731,134733.0,126703.0
22788,193389.0,290558.0
22864,60122.0,271901.0
22943,62518.0,122972.0
22969,251541.0,192267.0
22991,270624.0,115109.0
23010,214829.0,197404.0
23050,194988.0,10010.0
23056,32378.0,291812.0
23125,232021.0,165601.0
23151,167853.0,133831.0
23704,,
23815,57137.0,12920.0
23909,236440.0,288668.0
23950,211646.0,254739.0
24089,228685.0,270485.0
24104,183590.0,146627.0
24171,273531.0,31825.0
24210,242868.0,90605.0
24660,,
24956,118834.0,210466.0
25004,239889.0,176213.0
25020,81195.0,263587.0
25055,136745.0,227957.0
25331,200931.0,2554.0
25487,195374.0,123119.0
25537,79795.0,24940.0
25622,153651.0,113250.0
25630,237645.0,
25744,239624.0,88307.0
25748,181152.0,286976.0
25780,,
25854,209691.0,130264.0
25877,269912.0,171764.0
25941,37814.0,102858.0
26126,179579.0,185014.0
26229,59259.0,104241.0
26254,,
26259,119595.0,262382.0
26355,174104.0,244574.0
26377,135329.0,197404.0
26563,34209.0,143135.0
26846,100003.0,19832.0
26900,54023.0,132751.0
26947,,
27040,116298.0,132180.0
27108,208462.0,80242.0
27193,141108.0,229686.0
27297,,
27312,79522.0,240339.0
27330,191648.0,285819.0
27610,215310.0,
27645,266165.0,272746.0
27746,191508.0,
27760,288255.0,138935.0
27762,255547.0,168338.0
27990,282751.0,37975.0
27998,185135.0,75165.0
28102,69805.0,
28120,60552.0,288563.0
28124,98191.0,124788.0
28215,238041.0,126878.0
28252,293308.0,154852.0
28305,,
28367,15744.0,211783.0
28458,43636.0,47482.0
28459,155894.0,255765.0
28479,255234.0,295445.0
28649,153961.0,44830.0
28780,26387.0,287010.0
28836,222700.0,39500.0
28944,198241.0,77653.0
29093,,
29147,243449.0,
29191,216309.0,6831.0
29302,263612.0,146353.0
29478,2372.0,197011.0
29496,164937.0,
29501,141907.0,142559.0
29511,230329.0,81524.0
29562,274400.0,35599.0
29571,117338.0,291144.0
29600,82054.0,17136.0
29659,237066.0,105365.0
29687,,
