userID,itemID,rating,prediction
233686,1,0.0,26.78785
215400,3,0.0,39.207615
224379,5,0.0,68.35842
200179,13,0.0,42.605827
199859,17,0.0,85.95205
206335,27,0.0,571.80273
248282,27,0.0,307.73566
223017,65,0.0,72.34406
232975,65,0.0,53.981956
221112,65,0.0,177.18832
201608,65,0.0,61.126057
238284,65,0.0,49.22222
222215,76,0.0,54.665176
216533,76,0.0,2.6469345
216531,91,0.0,74.24509
238111,108,0.0,29.908575
219218,108,0.0,28.298565
219378,108,0.0,36.071144
247178,108,0.0,30.640453
204477,108,0.0,35.24165
231732,108,0.0,41.324776
200567,108,0.0,26.084694
244012,108,0.0,58.21073
211407,108,0.0,76.43939
223983,108,0.0,64.61417
240894,108,0.0,57.914444
222601,108,0.0,11.60673
239482,108,0.0,35.441837
215759,111,0.0,33.231438
220803,112,0.0,129.82457
228554,117,0.0,88.931114
203194,117,0.0,74.78047
232083,117,0.0,99.34449
244444,127,0.0,72.09128
241294,128,0.0,52.831432
248738,155,0.0,14.8042145
230523,155,0.0,101.55432
226389,155,0.0,60.802162
208177,155,0.0,57.37114
240487,155,0.0,59.39916
226371,155,0.0,82.90145
245736,155,0.0,67.7725
247346,155,0.0,64.39636
236228,168,0.0,24.07332
225666,168,0.0,80.15933
232833,168,0.0,33.324448
211740,168,0.0,63.889027
225286,191,0.0,65.681854
220276,192,0.0,45.128464
246616,196,0.0,122.82426
238919,209,0.0,626.1884
232302,211,0.0,182.48062
217980,211,0.0,66.71302
224198,211,0.0,78.00858
246561,211,0.0,157.38058
224690,218,0.0,111.161835
215435,223,0.0,60.641487
225399,223,0.0,62.981205
236583,231,0.0,86.58773
231435,231,0.0,66.35131
206319,231,0.0,48.08616
210991,231,0.0,52.185913
222992,231,0.0,245.94324
210599,233,0.0,31.961336
240279,233,0.0,41.27332
220246,253,0.0,190.42084
227986,263,0.0,43.288902
238049,263,0.0,54.314217
245094,274,0.0,9.617548
209166,274,0.0,41.296574
235975,310,0.0,349.46353
202726,319,0.0,26.09184
200541,319,0.0,86.53418
229492,333,0.0,61.448154
247273,333,0.0,28.683645
238418,333,0.0,109.76204
223123,366,0.0,286.67874
237213,372,0.0,7.243533
244036,375,0.0,90.41454
222553,375,0.0,58.292786
214442,375,0.0,49.635643
205982,387,0.0,76.63237
205309,388,0.0,0.0
238595,398,0.0,117.13779
227374,406,0.0,27.799986
200062,409,0.0,120.57029
203775,423,0.0,45.832436
208737,429,0.0,96.84127
237269,429,0.0,44.21649
210717,429,0.0,36.59516
213714,429,0.0,36.925545
247840,440,0.0,37.913113
247570,440,0.0,94.6504
217845,442,0.0,104.94373
230073,463,0.0,85.92335
230962,471,0.0,65.67299
208093,473,0.0,121.71761
248094,473,0.0,35.45468
206390,473,0.0,64.16226
202799,484,0.0,5.606537
247876,498,0.0,46.796494
202451,502,0.0,45.14615
200490,545,0.0,47.986877
224457,547,0.0,35.737396
218384,568,0.0,58.71732
223213,568,0.0,90.154434
214674,568,0.0,70.5041
205325,568,0.0,88.981766
206004,568,0.0,49.548462
246076,568,0.0,37.53091
225544,568,0.0,11.7946
227355,568,0.0,73.69153
210688,577,0.0,81.59446
228556,577,0.0,90.56601
202577,577,0.0,56.896603
210383,604,0.0,122.918884
203043,606,0.0,65.5907
205298,606,0.0,63.697952
237255,607,0.0,66.95858
216795,607,0.0,74.941986
219870,634,0.0,90.8467
235899,634,0.0,85.75976
211548,634,0.0,50.90638
239858,634,0.0,25.799143
208044,634,0.0,57.538208
217807,634,0.0,78.68782
230586,634,0.0,77.83329
245798,634,0.0,102.8587
218906,634,0.0,86.68892
238800,634,0.0,50.305767
212535,634,0.0,92.05183
213773,641,0.0,218.13025
222369,641,0.0,143.97708
230508,641,0.0,90.24056
225892,641,0.0,53.379322
212756,654,0.0,16.700424
200420,685,0.0,6.7811747
240065,685,0.0,5.7557507
216558,695,0.0,282.3883
243387,699,0.0,63.61531
235134,711,0.0,84.403465
203408,715,0.0,30.636377
222784,715,0.0,68.68146
212037,715,0.0,121.85268
246204,715,0.0,115.54082
244801,715,0.0,33.68166
236622,715,0.0,76.76089
242492,715,0.0,40.10708
230523,715,0.0,124.06464
222359,715,0.0,86.17619
246444,715,0.0,68.87801
242925,715,0.0,127.40001
234453,715,0.0,50.53205
231725,715,0.0,77.47017
208009,715,0.0,30.074236
233997,715,0.0,63.07084
210225,715,0.0,69.36386
231027,715,0.0,85.35503
215846,715,0.0,57.457653
234820,715,0.0,59.30397
